PC1,PC2,PC3,PC4
-1.0076146102256778,1.6461623390117557,-0.46470740354860074,0.6465800563447859
1.0762340569394873,-0.06029651251553795,1.3476685951365164,-0.36089173891030657
1.0334833656920877,-0.10197875024015429,-0.4560478849757803,1.8080513878065687
2.465816996182861,-0.47544048268159733,0.02511334861409522,-0.5980867051043304
-0.749683207726892,-0.8283498662036531,0.3910853091205886,-0.11743916636821979
3.288591687263414,0.13199152331518513,1.0559705182019397,-1.0974353867798636
4.424311330368648,-1.0368505556002754,0.15164912065732308,-0.36129057004876364
-0.7991670637960173,0.5359204823664779,-0.7238691292476522,1.1261571713962184
-1.3880362509016042,1.0898022662397284,0.09773916126620066,-0.07197808049155094
4.066243219252317,0.7480740309903121,0.1610644876720321,0.22923976289631853
2.3765485369353283,0.8898048752177434,-0.3736098387755593,0.3819326203537249
2.4429739609014964,-0.1726322158100708,0.9637873214666675,0.2074754431763723
4.162784234447933,1.120160211263543,0.07812178511491599,-0.4597086592588553
3.9413132861295286,-0.7887313881577661,-0.7696386052081586,0.02767745242616341
3.9178503456281404,0.5651500203412357,-0.37070626050158284,0.15107104212008043
-0.5756031332713255,-1.3733479043312877,-1.0910666700891576,1.5492165208613884
1.6582550217370582,-1.3436984386752917,-0.29685872177665573,1.363008276342799
0.05110355273099792,-0.3487518924643435,0.17625108711548657,0.9162330730146079
1.9909825958683958,-1.3471731957505364,1.0521163190984943,-1.108297453619205
-0.8778858725653352,0.10126783235094115,-0.14619417706524032,0.3764540433239535
-0.26796503082675205,-0.3293968623612973,-0.6728407376700547,0.8507074932366857
2.801720552221632,-0.7998999496039779,1.069886145823989,0.05704473476459865
-0.808809636612441,1.2138506557433002,-0.048009844760232484,-0.42194132605501566
3.0856692971660893,1.2946842742002818,0.826625158787798,0.6218354429472162
-0.4760498306243143,0.41425741157293483,-0.5694390511620718,0.24379818156153635
3.6354916627939935,0.00823110034670156,0.5352508180725232,-0.6215567631347296
-1.2133189353550446,-1.3778897400891383,0.12813451312284108,-0.08325606309655928
3.396723442824215,-0.6848086501209433,1.0042716406092151,1.488025721558206
4.329302242868231,-0.7287728132814886,0.26787098403133214,-0.5194818221680098
-1.0512301653568144,0.9649517018584324,0.11192352742291312,-0.06787004795007814
4.201707848419116,1.3661497664243538,0.4617570953580502,-0.7352438197769737
2.4731524888806984,-0.6959082253503202,-0.4911202034063623,-1.2728482790713749
4.468876644497714,-0.6055437946997269,0.11008160692767857,-0.2882244848750555
4.526781403067545,0.010608788286348736,0.05732547256593948,-0.19339795350544467
1.6813147661343453,-1.3773750000209528,-0.040383818590757584,-0.37835169113233574
0.3479864958684821,-1.2571603661595712,-0.092889798685184,0.976657562793219
4.310319482845949,-0.232130042416227,-0.15258886419158468,0.29692497233054904
1.3174805566900267,-0.1412153884063224,-0.057183159723746914,0.1731519165016382
4.597821375090725,-0.7903912820571338,-0.04240735713685714,-0.0739900694610405
