fitur,target,chi2_value,p_value,degree_of_freedom,signifikan (p<0.05)
verified_status,claim_status,554.0240857139472,1.6772342420486568e-122,1,Ya
author_ban_status,claim_status,1902.5933827784893,0.0,2,Ya
